LUCA;Last Universal Common Ancestor;Unranked;null;lucatest6;???;true;

Archaea;???;Unranked;LUCA;archaeatest9;???;false;

Eukarya;???;Domain;Archaea;???;???;false;

Diphoda;???;Unranked;Eukarya;???;???;false;

Diaphoretickes;???;Unranked;Diphoda;???;???;false;

Archaeplastida;???;???;Diaphoretickes;???;???;false;

unnamed1;???;???;Archaeplastida;???;???;false;

Viridiplantae;Green plants;Kingdom;unnamed1;???;???;false;

Streptophyta;???;Unranked;Viridiplantae;???;???;false;

Embryophyta;Land plants;Unranked;Streptophyta;???;???;false;

Tracheophyta;Vascular plants;Unranked;Embryophyta;???;???;false;

Euphyllophyta;True leafy plants;Unranked;Tracheophyta;???;???;false;

Spermatophyta;Seed plants;Unranked;Euphyllophyta;???;???;false;

Angiospermae;Flowering plants;Phylum;Spermatophyta;???;???;false;

Gymnospermae;???;Phylum;Spermatophyta;???;???;false;

Monilophyta;Ferns and allies;Phylum;Euphyllophyta;???;???;false;

Lycophyta;???;Phylum;Tracheophyta;???;???;false;

Bryophyta;Non-vascular plants;Unranked;Embryophyta;???;???;false;

Setaphyta;Mosses+Liverworts;Unranked;Bryophyta;???;???;false;

Marchantiophyta;Liverworts;Phylum;Setaphyta;???;???;false;

Mosses;???;Phylum;Setaphyta;???;???;false;

Anthocerotophyta;Hornworts;Phylum;Bryophyta;???;???;false;

Charales;???;Phylum;Streptophyta;???;???;false;

Chlorophyta;???;Phylum;Viridiplantae;???;???;false;

Rhodophyta;Red algae;Unranked;unnamed1;???;???;false;

Glaucophyta;???;???;Archaeplastida;???;???;false;

SAR supergroup;???;Kingdom;Diaphoretickes;???;???;false;

Excavata;???;Kingdom;Diphoda;???;???;false;

Amorphea;???;Unranked;Eukarya;???;???;false;

Opisthokonta;???;???;Amorphea;???;???;false;

Choanozoa;???;???;Opisthokonta;???;???;false;

Metazoa;Animals;Kingdom;Choanozoa;???;???;false;

Eumetazoa;???;Unranked;Metazoa;???;???;false;

ParaHoxozoa;???;Unranked;Eumetazoa;???;???;false;

Cnidaria+Placozoa;???;Unranked;ParaHoxozoa;???;???;false;

Cnidaria;???;Phylum;Cnidaria+Placozoa;???;???;false;

Placozoa;???;Phylum;Cnidaria+Placozoa;???;???;false;

Bilateria;???;Unranked;ParaHoxozoa;???;???;false;

Deuterostomia;???;Unranked;Bilateria;???;???;false;

Ambulacraria;???;Unranked;Deuterostomia;???;???;false;

Hemichordata;Acorn worms;Phylum;Ambulacraria;???;???;false;

Echinodermata;???;Phylum;Ambulacraria;???;???;false;

Chordata;???;Phylum;Deuterostomia;???;???;false;

Protostomia;???;Unranked;Bilateria;???;???;false;

Ecdysozoa;???;Unranked;Protostomia;???;???;false;

Priapulids+;???;Unranked;Ecdysozoa;???;???;false;

Kinorhynchs+Loriciferans;???;Unranked;Priapulids+;???;???;false;

Loriciferans;???;Phylum;Kinorhynchs+Loriciferans;???;???;false;

Kinorhynchs;???;Phylum;Kinorhynchs+Loriciferans;???;???;false;

Priapulids;???;Phylum;Priapulids+;???;???;false;

Nematoida+Panarthropoda;???;Unranked;Ecdysozoa;???;???;false;

Nematoida;???;Unranked;Nematoida+Panarthropoda;???;???;false;

Nematomorpha;Horsehair worms;Phylum;Nematoida;???;???;false;

Nematoda;Roundworms;Phylum;Nematoida;???;???;false;

Panarthropoda;???;Unranked;Nematoida+Panarthropoda;???;???;false;

Lobopedia+Tactopoda;???;Unranked;Panarthropoda;???;???;false;

Tactopoda;???;Unranked;Lobopedia+Tactopoda;???;???;false;

Arthropoda;???;Phylum;Tactopoda;???;???;false;

Tardigrada;???;Phylum;Tactopoda;???;???;false;

Lobopedia;???;Phylum;Lobopedia+Tactopoda;???;???;true;

Onychopohora;Velvet worms;Phylum;Panarthropoda;???;???;false;

Spiralia;???;Unranked;Protostomia;???;???;false;

Gnathifera;???;Unranked;Spiralia;???;???;false;

Chaetognatha;Arrow worms;Phylum;Gnathifera;???;???;false;

Rotifera;???;Phylum;Gnathifera;???;???;false;

Platytrochozoa;???;Unranked;Spiralia;???;???;false;

Lophotrochozoa;???;Unranked;Platytrochozoa;???;???;false;

Mollusca+Nemertea;???;Unranked;Lophotrochozoa;???;???;false;

Nemertea;Ribbon worms;Phylum;Mollusca+Nemertea;???;???;false;

Mollusca;???;Phylum;Mollusca+Nemertea;???;???;false;

Annelida;Segmented worms;Phylum;Lophotrochozoa;???;???;false;

Platyhelminthes;Flatworms;Phylum;Platytrochozoa;???;???;false;

Ctenophora;Comb Jellies;Phylum;Eumetazoa;???;???;false;

Porifera;Sponges;Phylum;Metazoa;???;???;false;

Choanoflagellates;???;???;Choanozoa;???;???;false;

Fungi;???;Kingdom;Opisthokonta;???;???;false;

Amoebozoa;Amoebas;Kingdom;Amorphea;???;???;false;

Non-eukaryotic archaea;???;Domain;Archaea;???;???;false;

Bacteria;???;Domain;LUCA;???;???;false;

